# Angle [degrees]   occurrence (total=141)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            4
82.162162                           11
87.297297                            9
92.432432                           31
97.567568                           16
102.702703                            4
107.837838                           10
112.972973                            4
118.108108                            5
123.243243                            1
128.378378                            1
133.513514                            0
138.648649                            3
143.783784                            0
148.918919                            0
154.054054                            1
159.189189                            1
164.324324                            0
169.459459                            7
174.594595                            7
179.729730                           19
184.864865                            7
190.000000                            0
