# distance [Angstrom]   occurrence (total=306)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                           70
1.635714                           24
1.687500                           10
1.739286                           13
1.791071                           17
1.842857                            7
1.894643                           15
1.946429                            4
1.998214                           15
2.050000                           23
2.101786                           12
2.153571                           19
2.205357                            9
2.257143                            3
2.308929                            8
2.360714                            3
2.412500                            5
2.464286                            1
2.516071                            4
2.567857                            2
2.619643                            2
2.671429                            1
2.723214                            3
2.775000                            0
2.826786                            0
2.878571                            0
2.930357                            0
2.982143                            0
3.033929                            2
3.085714                            0
3.137500                            0
3.189286                            0
3.241071                            0
3.292857                            1
3.344643                            8
3.396429                            0
3.448214                            8
3.500000                           17
