# angle [Degrees]   occurrence (total=81)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                            0
87.297297                            0
92.432432                            0
97.567568                            0
102.702703                            0
107.837838                            0
112.972973                            0
118.108108                            0
123.243243                            1
128.378378                            0
133.513514                            1
138.648649                            0
143.783784                            3
148.918919                            1
154.054054                            1
159.189189                            1
164.324324                            1
169.459459                            4
174.594595                            4
179.729730                           63
184.864865                            1
190.000000                            0
