# q1 [Angstrom]    q2 [Angstrom]
  -0.1864311730    2.5115242251
   0.0000000000    1.9557457370
  -0.1405941895    2.4776340962
  -0.0928604686    2.4449218385
  -0.0476221562    2.4266230131
   0.0000000000    1.9510943764
  -0.0475983928    2.4266818670
  -0.4063420432    2.7687356688
  -0.4321225910    2.8461669837
  -0.0035690796    2.4246543124
   0.0000000000    1.9489453818
  -0.1134446021    2.4494205112
  -0.1066019979    2.4461182534
   0.0000000000    1.9499358106
   0.0000000000    1.9504903046
  -0.0790820702    2.4375343242
  -0.0834054426    2.4367914682
  -0.3094766763    2.6459515713
  -0.0877604181    2.4384302797
  -0.0786908707    2.4374310164
  -0.3078641606    2.6435751970
   0.0000000000    1.9513059363
  -0.0083221550    2.4207020633
  -0.1696571046    2.4855445563
  -0.1712265439    2.4868373528
   0.0000000000    1.9469870788
   0.0000000000    1.9478072567
  -0.1717201002    2.4870776435
  -0.1697228908    2.4856652022
  -0.0028544423    2.4204410582
   0.0000000000    1.9540279431
   0.0000000000    1.9545058589
  -0.0759144207    2.4370249404
   0.0000000000    1.9511319134
   0.0000000000    1.9513090215
  -0.0805636886    2.4387416005
   0.0000000000    1.9514222196
   0.0000000000    1.9511004409
  -0.0971607677    2.4439548481
   0.0000000000    1.9481779134
   0.0000000000    1.9493411422
  -0.2748919122    2.5990983520
  -0.2783944923    2.6025022216
  -0.1294353746    2.4612137594
  -0.2919628007    2.6286426199
  -0.1358787355    2.4624031435
  -0.2805210160    2.6160608679
  -0.4985394008    2.9658458691
  -0.2751835732    2.5972996317
  -0.2082575541    2.5177431862
  -0.2083000046    2.5178201421
  -0.1065373829    2.4452920460
  -0.1676384961    2.4842530590
  -0.1916197780    2.5044937238
  -0.1312233770    2.4592583261
   0.0000000000    1.9482647184
   0.0000000000    1.9489998325
  -0.4560856133    2.8799225893
   0.0000000000    1.9521360992
  -0.2088391464    2.5178003548
  -0.2083486055    2.5174557541
  -0.1110531336    2.4486493772
  -0.3758874596    2.7442384862
  -0.1171567538    2.4511718708
  -0.1477715986    2.4711721603
   0.0000000000    1.9463942878
   0.0000000000    1.9472022392
  -0.2919694735    2.6168512811
  -0.2062276775    2.5169743795
  -0.1256536285    2.4582433095
   0.0000000000    1.9473706996
   0.0000000000    1.9480686521
  -0.2411447295    2.5575430522
   0.0000000000    1.9489233339
  -0.1502118790    2.4747717584
  -0.1189558318    2.4542066833
  -0.2094383283    2.5276030982
  -0.2508423117    2.5673863116
  -0.1167478090    2.4541180074
   0.0000000000    1.9496353766
   0.0000000000    1.9494641168
  -0.2051190680    2.5172232730
  -0.2045895552    2.5172738469
  -0.1099069593    2.4488776253
  -0.1856464115    2.4975689449
  -0.2950775732    2.6297988264
  -0.1129149515    2.4509478079
  -0.3047634680    2.6426408538
  -0.1822727939    2.4947884731
  -0.1629045363    2.4835165784
  -0.1381692783    2.4665932978
  -0.1687272834    2.4873859576
  -0.3126011327    2.6554118070
  -0.4654557138    2.9031057608
  -0.1207145439    2.4561206104
   0.0000000000    1.9494071252
   0.0000000000    1.9492319370
  -0.2039241787    2.5170624743
  -0.2057845894    2.5188271931
  -0.1848214766    2.4963786361
  -0.2938767202    2.6269353164
  -0.1132494060    2.4531179322
   0.0000000000    1.9499097825
   0.0000000000    1.9494140216
  -0.3667863614    2.7373447311
   0.0000000000    1.9505602115
   0.0000000000    1.9516836775
  -0.4090738726    2.8063162838
