# Angle [degrees]   occurrence (total=381)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                            5
87.297297                            6
92.432432                            0
97.567568                            0
102.702703                            0
107.837838                           98
112.972973                           80
118.108108                           69
123.243243                           21
128.378378                          102
133.513514                            0
138.648649                            0
143.783784                            0
148.918919                            0
154.054054                            0
159.189189                            0
164.324324                            0
169.459459                            0
174.594595                            0
179.729730                            0
184.864865                            0
190.000000                            0
