# distance [Angstrom]   occurrence (total=28)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                            6
1.635714                            0
1.687500                            4
1.739286                            2
1.791071                            1
1.842857                            1
1.894643                            0
1.946429                            0
1.998214                            0
2.050000                            0
2.101786                            5
2.153571                            3
2.205357                            2
2.257143                            0
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            1
2.671429                            0
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            1
2.930357                            1
2.982143                            0
3.033929                            0
3.085714                            0
3.137500                            0
3.189286                            0
3.241071                            0
3.292857                            0
3.344643                            0
3.396429                            0
3.448214                            0
3.500000                            1
